Id,Intersection,Lat,Long,SignInstalled
1,Park Ter and Putnam Hts,41.75902789730,-72.69332261760,True
2,Park Ter and Mortson,41.75975822780,-72.69304776440,True
3,Putnam and Mortson,41.75972774920,-72.69053321500,
4,Putnam St and Putnam Hts,41.75892338550,-72.69055739980,
5,Hawthorn and Imlay,41.76461852390,-72.69530867170,
6,Coventry and Woodstock,41.79948145290,-72.69008969060,
7,Coventry and Branford,41.79860953150,-72.69009629720,
8,Holcomb and Ridgefield,41.79598184260,-72.69374739140,
9,Cornwall and Chatham,41.79127872120,-72.70179090830,
10,Palm and Westminster,41.79737551210,-72.70196865290,
11,Burnham and North Canaan,41.80493482070,-72.70570865580,
12,Lyme and Harold,41.80421192260,-72.70421005810,
13,Palm and Harold,41.80428049070,-72.70163063630,
14,Palm and Durham,41.80254176570,-72.70158630230,
15,Durham and Canaan,41.80232891150,-72.70551570000,
16,Granby and Manchester,41.79900352890,-72.70659872370,
17,Granby and Branford,41.79802035610,-72.70672441920,
18,Homestead and Baltimore,41.78169932540,-72.70217391920,
19,Homestead and Adams,41.78035918240,-72.70078954480,True
20,337 Homestead Av,41.78009888820,-72.70041419720,
21,Homestead and Milford,41.77986206460,-72.70003755010,True
22,Prospect and Cone,41.76839628890,-72.71632953070,
23,Whitney and Cone,41.76897565060,-72.71170948940,
24,Farmington and Tremont,41.76607165180,-72.71228519930,
25,Sisson and Fales,41.76520934530,-72.70716015940,True
26,Sisson and Gray,41.76423090750,-72.70702827350,
27,Asylum and Haynes,41.76730474900,-72.67692905200,True
28,Windsor and Pavilion,41.78155445630,-72.67167081710,
29,555 Windsor St,41.78112456240,-72.67180182610,
30,Garden and Liberty,41.77559573710,-72.68636007410,
31,High and Foot Guard,41.77030820270,-72.67956630910,
32,Union and Allyn,41.76877353710,-72.68128483750,
33,Sargeant and Huntington,41.77514397630,-72.69053010910,
34,Collins and May,41.77345226230,-72.69429755070,
35,Westland and Enfield,41.79152962590,-72.68244064350,
36,Hampton and Montville,41.79671007710,-72.67062571580,
37,Park and Rowe,41.75619232780,-72.71328187040,
38,Park and Dorothy,41.75622436070,-72.71223261300,
39,Park and Madison,41.75637873460,-72.71113862140,
40,Park and Chadwick,41.75687798350,-72.70817294940,True
41,Park and Newton,41.75703366720,-72.70725082930,True
42,Park and Pope Park Hwy,41.75812761400,-72.70149166920,True
43,Park and Lawrence,41.75807325760,-72.68805041810,
44,Park and Hungerford,41.75801233170,-72.68591611070,True
45,Park and Wolcott,41.75798743400,-72.68505178340,
46,Park and Cedar,41.75775230930,-72.68092264350,
47,Park and Seymour,41.75769725340,-72.68048047530,True
