CrashId,Date Of Crash,Period,Crash Severity Text Format,Most Severe Injury Text Format,Number Of Motor Vehicles,Road Description,Manner of Crash / Collision Impact Text Format,Weather Condition Text Format,Latitude,Longitude,NearestSpeedhump,NearestSpeedhumpDistance,NearestSpeedhumpInstallDate
104049,2015-11-12,2015/2016,Property Damage Only,No Apparent Injury (O),2,504,"Sideswipe, same direction",Rain,41.74263200,-72.71212600,P,1060.8801453086046,Oct-18
105568,2015-11-23,2015/2016,Property Damage Only,No Apparent Injury (O),2,CHURCH ST,Angle,Clear,41.76919500,-72.67774800,F,2480.3180210384053,
107890,2015-11-16,2015/2016,Property Damage Only,No Apparent Injury (O),2,091,Front to rear,Clear,41.73848300,-72.66518700,F,1946.547063885669,
107893,2015-11-19,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,Front to rear,Clear,41.76505900,-72.69150700,P,1531.4346109272267,Oct-18
111937,2015-11-24,2015/2016,Property Damage Only,No Apparent Injury (O),2,084,"Sideswipe, same direction",Clear,41.76902100,-72.68351900,F,1899.1754233706722,
111941,2015-11-29,2015/2016,Property Damage Only,No Apparent Injury (O),3,091,Front to rear,Clear,41.74907400,-72.65791000,O,2284.2536589367487,Several years ago
113199,2015-11-03,2015/2016,Property Damage Only,No Apparent Injury (O),2,GARDEN ST NO 1,Front to rear,Clear,41.76871100,-72.68435500,F,1691.7993686446464,
113201,2015-11-03,2015/2016,Property Damage Only,No Apparent Injury (O),2,529,Angle,Clear,41.73184700,-72.71298400,P,531.2687994664121,Oct-18
113202,2015-11-04,2015/2016,Property Damage Only,No Apparent Injury (O),2,503,Front to rear,Clear,41.76166200,-72.70650900,P,608.0294479021258,Oct-18
113203,2015-11-04,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),3,NEW PARK AV,Front to rear,Clear,41.74807100,-72.71265500,P,1643.7106394225789,Oct-18
113204,2015-11-04,2015/2016,Property Damage Only,No Apparent Injury (O),3,FRANKLIN AV,Front to rear,Clear,41.75086800,-72.67769600,O,392.2245928590924,Several years ago
113206,2015-11-04,2015/2016,Property Damage Only,No Apparent Injury (O),2,ELIZABETH ST,Angle,Clear,41.77396100,-72.71147000,O,454.2427137017731,Several years ago
113208,2015-11-04,2015/2016,"Injury of any type (Serious, Minor, Possible)",Suspected Minor Injury (B),2,COLLINS ST,Angle,Clear,41.77295200,-72.69126400,F,84.65561980430013,
113209,2015-11-04,2015/2016,Property Damage Only,No Apparent Injury (O),2,MARKET ST,Angle,Clear,41.76740800,-72.67118900,O,3636.7612796064773,Several years ago
113210,2015-11-04,2015/2016,Property Damage Only,No Apparent Injury (O),2,FRANKLIN AV,Angle,Clear,41.73820300,-72.67547800,P,436.8914690946535,Oct-18
113211,2015-11-04,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,WESTON ST,Angle,Clear,41.78755200,-72.66295000,P,2577.696120956587,May-19
113212,2015-11-04,2015/2016,Property Damage Only,No Apparent Injury (O),2,PARK ST,Front to rear,Clear,41.75712500,-72.67597700,O,713.0875999283433,Several years ago
113213,2015-11-05,2015/2016,Property Damage Only,No Apparent Injury (O),2,SEYMS ST,Front to rear,Cloudy,41.77765400,-72.67724700,F,426.74015871491554,
113214,2015-11-05,2015/2016,Property Damage Only,No Apparent Injury (O),2,MAIN ST NO 2,"Sideswipe, same direction",Clear,41.75767500,-72.67568600,O,616.1778753268258,Several years ago
113215,2015-11-05,2015/2016,Property Damage Only,No Apparent Injury (O),2,187,"Sideswipe, same direction",Cloudy,41.80556000,-72.69549900,P,384.25835926284213,Oct-18
113219,2015-11-05,2015/2016,"Injury of any type (Serious, Minor, Possible)",Possible Injury (C),2,nan,Angle,Clear,41.79277600,-72.67746700,F,381.0748036974512,
