CrashId,Town Name,Date Of Crash,Time of Crash,Route Class
117788,Southington,2015-01-03,14:57:00,Local
120216,Bristol,2015-01-11,18:21:00,Local
120571,Torrington,2015-01-04,5:14:00,State
122336,Bloomfield,2015-01-23,9:25:00,State
122344,Bloomfield,2015-04-30,14:54:00,State
123010,Greenwich,2015-01-06,6:54:00,Local
123599,New Britain,2015-05-19,17:06:00,State
124498,Hebron,2015-02-17,4:34:00,State
126168,Waterbury,2015-02-20,22:41:00,State
128440,Meriden,2015-08-03,1:20:00,State
129822,Bridgeport,2014-08-03,2:33:00,Unknown
129825,Woodstock,2014-12-05,17:46:00,Unknown
129826,New Haven,2014-12-11,20:47:00,Unknown
129827,Berlin,2014-12-13,2:16:00,Unknown
129829,Essex,2014-12-22,7:42:00,Unknown
129830,Beacon Falls,2014-12-23,19:58:00,Unknown
129831,Westport,2014-12-28,2:32:00,Unknown
131024,Stonington,2015-07-27,20:08:00,Interstate
131373,Suffield,2014-12-10,18:01:00,Unknown
137497,Bristol,2015-06-19,11:02:00,USRoute
137513,Danbury,2015-04-29,17:07:00,USRoute
137514,Danbury,2015-05-13,6:50:00,Unknown
137546,East Hampton,2015-05-30,17:33:00,Local
137562,Enfield,2015-05-28,21:13:00,State
137569,Farmington,2015-02-20,12:05:00,Local
137580,Groton,2015-08-04,6:22:00,Local
137583,Guilford,2015-08-01,3:13:00,Local
137586,Hamden,2015-09-04,0:37:00,Local
137721,North Haven,2015-03-11,7:02:00,State
137727,Norwalk,2015-04-05,0:27:00,Local
137728,Norwalk,2015-05-09,0:23:00,Local
137729,Norwalk,2015-05-27,3:40:00,Local
137730,Norwalk,2015-06-21,3:17:00,USRoute
137746,Plainfield,2015-08-02,2:03:00,State
137769,Southington,2015-06-16,16:54:00,Local
137781,North Canaan,2015-01-26,10:38:00,Unknown
137799,Brooklyn,2015-05-30,8:08:00,USRoute
137800,Montville,2015-05-31,2:15:00,Interstate
138000,Suffield,2015-08-23,19:18:00,State
138006,Trumbull,2015-03-17,9:06:00,Unknown
138014,Vernon,2015-06-13,22:25:00,Local
138022,Waterbury,2015-02-17,16:00:00,State
138280,Norwich,2015-08-24,22:16:00,Local
139796,New Hartford,2014-12-04,1:50:00,Unknown
143434,Hartford,2015-08-09,14:13:00,Local
145669,New Haven,2015-09-18,21:45:00,Local
148566,Torrington,2015-10-05,1:17:00,State
149836,Bristol,2015-10-16,11:52:00,Local
150245,Torrington,2015-10-22,15:10:00,Local
150573,Meriden,2015-09-28,14:58:00,State
152507,East Hartford,2015-10-11,8:50:00,Local
153471,Orange,2015-11-21,8:18:00,State
158519,Guilford,2015-05-15,0:20:00,Interstate
161615,Brooklyn,2015-05-08,11:13:00,Local
161953,New London,2015-06-13,19:42:00,USRoute
162037,Coventry,2015-05-31,21:32:00,USRoute
162038,Harwinton,2015-06-14,22:08:00,Local
164374,Glastonbury,2015-06-13,15:57:00,Unknown
165992,North Branford,2015-08-20,8:32:00,Unknown
166042,Stamford,2015-10-20,18:48:00,Unknown
166480,Hebron,2015-06-20,12:59:00,State
167216,Danbury,2015-07-02,21:24:00,USRoute
168148,Waterbury,2015-10-11,4:00:00,State
168773,Wethersfield,2015-05-09,20:13:00,State
170052,Bridgeport,2015-02-08,1:20:00,Local
172160,Hamden,2016-01-30,3:09:00,State
174047,Newington,2015-05-25,7:05:00,State
176234,Enfield,2014-12-14,19:34:00,Unknown
179107,Danbury,2015-04-12,7:56:00,Local
179142,Greenwich,2015-09-14,13:35:00,Unknown
179298,North Haven,2015-01-04,21:01:00,Interstate
179299,Canterbury,2015-02-18,18:28:00,Local
179300,Norwich,2015-03-01,15:53:00,State
179301,New Haven,2015-03-06,1:37:00,Interstate
179590,East Haven,2015-02-22,4:04:00,USRoute
179806,Barkhamsted,2015-01-07,13:06:00,Local
179990,Waterbury,2015-02-04,22:39:00,State
180104,East Haven,2015-06-27,21:42:00,State
180227,New Haven,2015-07-19,3:06:00,State
180358,Ledyard,2015-06-03,4:23:00,Local
180360,Putnam,2015-06-22,13:01:00,State
