CrashId,PersonId,Age,Birth Date,Birth Date Unknown,Gender,Injury Status
117788,4,58,1956-10-09,null,Male,Fatal Injury (K)
120216,1,56,1958-06-15,null,Male,Fatal Injury (K)
120571,2,25,1989-07-12,null,Male,Fatal Injury (K)
122336,2,66,1948-09-09,null,Male,Fatal Injury (K)
122344,1,20,1994-07-28,null,Female,Fatal Injury (K)
123010,2,51,1963-12-12,null,Female,Fatal Injury (K)
123599,2,50,1965-04-17,null,Male,Fatal Injury (K)
124498,1,22,1992-08-19,null,Male,Fatal Injury (K)
126168,2,20,1994-11-13,null,Female,Fatal Injury (K)
128440,1,43,1972-08-02,null,Male,Fatal Injury (K)
129822,1,23,1991-05-20,null,Male,Fatal Injury (K)
129825,2,76,1938-02-10,null,Male,Fatal Injury (K)
129826,2,52,1962-03-20,null,Male,Fatal Injury (K)
129827,2,19,1995-10-24,null,Female,Fatal Injury (K)
129829,2,50,1964-08-03,null,Male,Fatal Injury (K)
129830,2,29,1985-04-05,null,Male,Fatal Injury (K)
129831,2,22,1992-06-13,null,Male,Fatal Injury (K)
131024,1,31,1984-03-01,null,Male,Fatal Injury (K)
131024,2,7,2008-06-09,null,Male,Fatal Injury (K)
131373,5,17,1997-01-28,null,Male,Fatal Injury (K)
137497,1,87,1928-03-29,null,Male,Fatal Injury (K)
137513,1,55,1959-06-05,null,Male,Fatal Injury (K)
137514,2,58,1957-03-27,null,Male,Fatal Injury (K)
137546,3,47,1967-10-25,null,Female,Fatal Injury (K)
137562,4,36,1979-01-03,null,Male,Fatal Injury (K)
137569,1,79,1935-03-08,null,Male,Fatal Injury (K)
137580,2,50,1964-11-10,null,Male,Fatal Injury (K)
137583,1,21,1994-07-23,null,Male,Fatal Injury (K)
137586,1,51,1964-05-02,null,Male,Fatal Injury (K)
137721,2,50,1964-12-21,null,Male,Fatal Injury (K)
137727,1,40,1975-02-22,null,Male,Fatal Injury (K)
137728,1,55,1959-06-24,null,Male,Fatal Injury (K)
137729,1,44,1970-11-27,null,Male,Fatal Injury (K)
137730,3,49,1965-09-26,null,Female,Fatal Injury (K)
137746,1,28,1986-09-28,null,Male,Fatal Injury (K)
137769,1,52,1962-08-28,null,Male,Fatal Injury (K)
137781,1,51,1963-07-03,null,Male,Fatal Injury (K)
137799,1,55,1959-05-31,null,Male,Fatal Injury (K)
137800,2,28,1987-04-09,null,Male,Fatal Injury (K)
138000,1,54,1961-01-25,null,Male,Fatal Injury (K)
138006,1,24,1990-09-19,null,Male,Fatal Injury (K)
138014,1,63,1952-03-13,null,Male,Fatal Injury (K)
138022,1,24,1990-09-06,null,Male,Fatal Injury (K)
138022,3,23,1992-01-09,null,Male,Fatal Injury (K)
138280,2,18,1996-10-29,null,Male,Fatal Injury (K)
139796,4,23,1991-05-11,null,Female,Fatal Injury (K)
143434,1,25,1990-04-16,null,Male,Fatal Injury (K)
143434,5,27,1988-07-01,null,Male,Fatal Injury (K)
145669,3,65,1950-01-01,null,Male,Fatal Injury (K)
