Town,Year,Fatalities
Andover,2015,2
Andover,2016,1
Ansonia,2015,1
Ansonia,2018,1
Ashford,2015,1
Ashford,2016,1
Ashford,2017,1
Avon,2017,1
Barkhamsted,2015,1
Barkhamsted,2016,1
Beacon Falls,2014,1
Berlin,2014,1
Berlin,2015,2
Berlin,2016,1
Berlin,2017,2
Bethany,2015,2
Bethany,2017,2
Bethany,2018,2
Bethel,2016,1
Bethel,2018,1
Bethlehem,2015,1
Bloomfield,2015,3
Bloomfield,2016,3
Bloomfield,2017,2
Bolton,2015,1
Bolton,2016,1
Bolton,2018,3
Bozrah,2015,1
Branford,2015,3
Branford,2016,2
Branford,2017,1
Branford,2018,1
Bridgeport,2014,1
Bridgeport,2015,2
Bridgeport,2016,15
Bridgeport,2017,11
Bridgeport,2018,11
Bridgeport,2019,1
Bridgewater,2016,2
Bristol,2015,6
Bristol,2016,5
Bristol,2017,6
Bristol,2018,3
Brookfield,2015,1
Brookfield,2016,1
Brookfield,2017,2
Brooklyn,2015,3
Brooklyn,2016,3
Brooklyn,2018,3
Burlington,2015,1
Burlington,2018,1
Canaan,2015,1
Canaan,2016,1
Canaan,2018,1
Canterbury,2015,1
Canterbury,2018,1
Canton,2017,5
Canton,2018,1
Chaplin,2017,2
Chaplin,2018,1
Cheshire,2015,4
Cheshire,2017,3
Cheshire,2018,1
Chester,2015,1
Chester,2016,1
Clinton,2016,1
Clinton,2017,2
Colchester,2016,1
Colchester,2017,2
Colchester,2018,3
Columbia,2015,2
Columbia,2016,1
Columbia,2017,1
Cornwall,2018,1
Coventry,2015,2
Coventry,2016,1
Coventry,2017,1
Cromwell,2015,4
Cromwell,2017,2
Cromwell,2018,2
Danbury,2015,6
Danbury,2016,9
Danbury,2017,6
Danbury,2018,7
Darien,2016,1
Deep River,2015,1
Deep River,2016,2
Deep River,2017,1
Derby,2015,1
Derby,2016,1
Derby,2017,1
Durham,2015,1
Durham,2016,2
East Granby,2016,1
East Granby,2017,2
East Haddam,2015,2
East Haddam,2016,3
East Haddam,2017,1
East Hampton,2015,1
East Hampton,2018,1
East Hartford,2015,8
East Hartford,2016,4
East Hartford,2017,3
East Hartford,2018,3
East Haven,2015,3
East Haven,2016,6
East Haven,2017,2
East Haven,2018,1
East Lyme,2015,3
East Lyme,2016,2
East Lyme,2018,1
East Windsor,2015,1
East Windsor,2017,1
Eastford,2015,2
Eastford,2016,2
Easton,2016,1
Ellington,2015,1
Ellington,2018,1
Enfield,2014,1
Enfield,2015,1
Enfield,2016,5
Enfield,2017,2
Enfield,2018,7
Essex,2014,1
Essex,2016,1
Essex,2017,1
Essex,2018,1
Fairfield,2015,3
Fairfield,2016,4
Fairfield,2017,4
Fairfield,2018,1
Farmington,2015,2
Farmington,2016,1
Farmington,2017,2
Farmington,2018,2
Glastonbury,2015,2
Glastonbury,2017,1
Glastonbury,2018,3
Granby,2015,3
Granby,2017,2
Greenwich,2015,2
Greenwich,2016,3
Greenwich,2017,3
Greenwich,2018,2
Griswold,2016,1
Griswold,2017,2
Griswold,2018,2
Groton,2015,2
Groton,2016,2
Groton,2017,2
Groton,2018,3
Guilford,2015,4
Guilford,2016,1
Guilford,2017,1
Guilford,2018,2
Haddam,2015,1
Haddam,2016,1
Haddam,2018,2
Hamden,2015,1
Hamden,2016,2
Hamden,2017,4
Hamden,2018,9
Hampton,2016,1
Hampton,2017,1
Hartford,2015,10
Hartford,2016,10
Hartford,2017,10
Hartford,2018,23
Hartland,2016,1
Harwinton,2015,2
Harwinton,2016,1
Harwinton,2017,2
Harwinton,2018,1
Hebron,2015,2
Hebron,2017,2
Kent,2015,1
Kent,2018,1
Killingly,2015,2
Killingly,2016,4
Killingly,2017,3
Killingly,2018,3
Killingworth,2015,1
Lebanon,2015,1
Lebanon,2016,1
Lebanon,2017,2
Lebanon,2018,2
Ledyard,2015,2
Ledyard,2016,3
Ledyard,2017,2
Lisbon,2018,1
Litchfield,2016,2
Lyme,2017,1
Madison,2015,1
Madison,2016,2
Madison,2017,3
Madison,2018,1
Manchester,2015,2
Manchester,2016,4
Manchester,2017,4
Manchester,2018,1
Mansfield,2015,4
Mansfield,2016,1
Mansfield,2017,1
