Town,Year,Age,Gender,DUI,Speeding,Count
Andover,2005,55,Unknown,False,False,1
Andover,2008,44,Male,True,False,1
Andover,2010,75,Female,False,False,1
Andover,2014,49,Female,False,False,1
Andover,2015,30,Female,False,False,1
Andover,2015,64,Male,True,True,1
Andover,2016,91,Male,False,False,1
Ansonia,2003,61,Male,False,False,1
Ansonia,2004,67,Male,False,False,1
Ansonia,2006,22,Male,False,True,1
Ansonia,2006,23,Unknown,False,False,1
Ansonia,2006,36,Male,False,True,1
Ansonia,2006,86,Male,False,False,1
Ansonia,2007,23,Unknown,False,False,1
Ansonia,2018,78,Male,False,False,1
Ashford,2004,21,Male,False,False,1
Ashford,2005,32,Male,False,False,1
Ashford,2006,30,Female,False,False,1
Ashford,2006,31,Male,False,False,1
Ashford,2007,19,Male,True,False,1
Ashford,2008,15,Male,False,False,1
Ashford,2008,38,Male,True,False,1
Ashford,2011,33,Female,True,False,1
Ashford,2015,42,Male,True,True,1
Ashford,2016,50,Female,False,False,1
Ashford,2017,24,Female,False,False,1
Avon,2005,41,Male,False,True,1
Avon,2005,42,Female,False,False,1
Avon,2005,42,Unknown,False,False,1
Avon,2005,54,Female,False,False,1
Avon,2005,60,Female,False,False,1
Avon,2006,86,Female,False,False,1
Avon,2007,65,Male,False,False,1
Avon,2009,19,Female,False,False,1
Avon,2013,24,Male,True,False,1
Avon,2017,52,Male,False,False,1
Barkhamsted,2003,80,Female,False,False,1
Barkhamsted,2004,35,Male,True,False,1
Barkhamsted,2005,32,Male,False,False,1
Barkhamsted,2005,37,Female,False,False,1
Barkhamsted,2005,49,Male,False,False,1
Barkhamsted,2008,70,Male,False,False,1
Barkhamsted,2010,55,Male,True,False,1
Barkhamsted,2011,49,Female,True,False,1
Barkhamsted,2012,50,Female,False,False,1
Barkhamsted,2014,33,Male,False,False,1
Barkhamsted,2015,46,Male,True,True,1
Barkhamsted,2016,23,Male,True,False,1
Beacon Falls,2004,32,Male,False,False,1
Beacon Falls,2007,37,Male,True,False,1
Beacon Falls,2010,58,Female,False,False,1
Beacon Falls,2012,22,Male,True,False,1
Beacon Falls,2014,29,Male,False,False,2
Berlin,2003,20,Female,False,False,1
Berlin,2003,28,Female,False,False,1
Berlin,2003,40,Male,True,False,1
Berlin,2004,17,Male,True,False,1
Berlin,2004,24,Male,False,False,1
Berlin,2004,33,Male,False,False,1
Berlin,2004,47,Male,False,False,1
Berlin,2004,53,Female,False,False,1
Berlin,2006,18,Unknown,False,False,2
Berlin,2006,19,Unknown,False,False,1
Berlin,2006,21,Unknown,False,False,1
Berlin,2006,28,Female,False,True,1
Berlin,2007,22,Unknown,False,False,1
Berlin,2007,86,Unknown,False,False,1
Berlin,2008,67,Female,False,False,1
Berlin,2008,72,Unknown,False,False,1
Berlin,2008,76,Female,False,False,1
Berlin,2009,28,Unknown,False,False,1
Berlin,2009,50,Male,False,True,1
Berlin,2011,23,Male,True,False,1
Berlin,2011,25,Male,False,False,1
Berlin,2011,32,Unknown,False,False,1
Berlin,2011,68,Unknown,False,False,1
Berlin,2011,69,Female,False,False,1
Berlin,2012,30,Male,False,False,1
Berlin,2012,62,Unknown,False,False,1
Berlin,2012,67,Male,True,False,1
Berlin,2013,22,Female,False,False,1
Berlin,2013,36,Male,False,False,1
Berlin,2013,45,Male,True,False,1
Berlin,2013,90,Male,False,False,1
Berlin,2014,19,Female,False,False,1
Berlin,2014,19,Unknown,False,False,1
Berlin,2014,32,Unknown,False,False,1
Berlin,2014,36,Male,False,False,1
Berlin,2015,26,Male,False,True,1
Berlin,2015,56,Female,True,False,1
Berlin,2016,19,Male,False,True,1
Berlin,2017,21,Male,False,False,1
Berlin,2017,56,Female,False,False,1
Bethany,2003,21,Male,True,False,1
Bethany,2003,24,Male,True,False,1
Bethany,2003,34,Male,False,False,1
Bethany,2005,51,Male,False,False,1
Bethany,2006,85,Male,False,False,1
Bethany,2007,90,Unknown,False,False,1
Bethany,2007,92,Male,False,True,1
Bethany,2008,53,Male,False,False,1
Bethany,2008,79,Female,False,False,1
Bethany,2009,39,Unknown,False,False,1
Bethany,2009,48,Male,False,False,1
Bethany,2009,49,Male,True,False,1
