CrashId,Town Name,Date Of Crash,Time of Crash,Route Class
1216542,Stratford,2003-01-03,0:53:00,Interstate
1216543,Cheshire,2003-01-03,3:36:00,Interstate
1216544,Waterbury,2003-01-04,4:46:00,Interstate
1216545,Manchester,2003-01-01,2:13:00,Local
1216546,Suffield,2003-01-06,7:48:00,State
1216547,Bristol,2003-01-06,17:54:00,State
1216548,Haddam,2003-01-07,19:04:00,State
1216549,Milford,2003-01-10,1:49:00,State
1216550,Derby,2003-01-14,9:21:00,Local
1216551,Southington,2003-01-15,17:47:00,Interstate
1216552,Westport,2003-01-16,17:50:00,Interstate
1216553,Fairfield,2003-01-17,5:18:00,Interstate
1216554,New Haven,2003-01-18,4:15:00,Local
1216555,Waterbury,2003-01-18,6:31:00,State
1216556,Lebanon,2003-01-19,17:55:00,State
1216557,North Stonington,2003-01-19,2:55:00,Interstate
1216558,Danbury,2003-01-14,0:26:00,Local
1216559,Bristol,2003-01-23,1:49:00,USRoute
1216560,Waterford,2003-01-23,16:20:00,USRoute
1216561,Montville,2003-01-23,20:34:00,Local
1216562,Prospect,2003-01-31,21:03:00,State
1216563,West Hartford,2003-01-29,8:45:00,Interstate
1216564,Fairfield,2003-02-03,12:54:00,Interstate
1216565,Killingly,2003-02-04,14:30:00,Local
1216566,Watertown,2003-02-06,20:51:00,Local
1216567,East Hartford,2003-02-07,5:58:00,Interstate
1216568,Brooklyn,2003-02-10,16:56:00,USRoute
1216569,New Milford,2003-01-30,10:02:00,Local
1216570,Greenwich,2003-02-16,2:35:00,Interstate
1216571,Southbury,2003-02-18,10:54:00,Local
1216572,Wethersfield,2003-02-13,5:55:00,State
1216573,Ansonia,2003-01-31,6:38:00,State
1216574,Groton,2003-02-26,4:44:00,Interstate
1216575,Middlebury,2003-02-28,9:43:00,State
1216576,Newtown,2003-02-28,18:03:00,Interstate
1216577,Orange,2003-03-02,0:09:00,Local
1216578,Preston,2003-03-05,6:25:00,State
1216579,Cromwell,2003-03-06,7:33:00,State
1216580,Redding,2003-03-01,22:33:00,USRoute
1216581,West Hartford,2003-03-08,23:43:00,State
1216582,Burlington,2003-03-10,12:49:00,State
1216583,Middletown,2003-03-11,6:04:00,Interstate
1216584,Preston,2003-03-12,13:33:00,Local
1216585,Newtown,2003-03-14,4:39:00,Interstate
1216586,Morris,2003-03-16,1:02:00,USRoute
1216587,Marlborough,2003-03-16,11:02:00,State
1216588,Somers,2003-03-16,3:59:00,State
1216589,New Haven,2003-03-19,16:43:00,State
1216590,Stratford,2003-03-21,23:13:00,Local
1216591,Bristol,2003-03-22,14:30:00,Local
1216592,Sherman,2003-03-23,22:19:00,State
1216593,Killingly,2003-03-24,1:08:00,State
1216594,Eastford,2003-03-22,19:47:00,Local
1216595,Enfield,2003-03-03,12:56:00,Local
1216596,Killingly,2003-01-04,13:13:00,Local
1216597,North Stonington,2003-02-23,21:25:00,State
1216598,New Haven,2003-03-29,20:08:00,Local
1216599,Ledyard,2003-03-30,17:14:00,State
1216600,Wethersfield,2003-03-20,18:35:00,State
1216601,Darien,2003-04-04,22:43:00,Interstate
1216602,Farmington,2003-04-05,0:10:00,Interstate
1216603,North Stonington,2003-04-04,23:54:00,State
1216604,Norwalk,2003-04-05,1:56:00,USRoute
1216605,Montville,2003-03-31,1:48:00,Local
1216606,Milford,2003-04-07,21:26:00,Interstate
1216607,Washington,2003-04-09,7:41:00,Local
1216608,East Granby,2003-04-11,1:59:00,State
1216609,Southington,2003-04-10,23:59:00,Local
1216610,Ellington,2003-04-13,18:51:00,State
1216611,Hartford,2003-04-07,11:09:00,Interstate
1216612,Griswold,2003-04-15,14:55:00,Interstate
1216613,New London,2003-04-18,2:33:00,State
1216614,Norwalk,2003-04-18,11:01:00,Local
1216615,Prospect,2003-04-19,2:27:00,State
1216616,Milford,2003-04-25,22:42:00,USRoute
1216617,Waterbury,2003-04-27,2:30:00,Local
1216618,Wolcott,2003-04-28,0:16:00,Local
1216619,Old Saybrook,2003-05-01,6:28:00,Local
1216620,New Milford,2003-04-28,1:49:00,USRoute
1216621,West Haven,2003-05-03,1:20:00,Interstate
1216622,Seymour,2003-05-04,3:15:00,State
1216623,Oxford,2003-05-05,16:21:00,State
1216624,Plainville,2003-05-05,16:31:00,State
1216625,Seymour,2003-05-04,12:19:00,State
1216626,Lebanon,2003-05-08,22:31:00,State
1216627,Wallingford,2003-05-08,16:43:00,Interstate
1216628,Milford,2003-05-10,14:32:00,Local
1216629,West Hartford,2003-05-10,15:01:00,Local
1216630,Mansfield,2003-05-16,13:55:00,USRoute
1216631,New Britain,2003-05-17,11:18:00,State
1216632,Waterbury,2003-05-17,14:22:00,State
1216633,Southbury,2003-05-17,23:05:00,Interstate
1216634,North Haven,2003-05-19,20:16:00,Interstate
1216635,Monroe,2003-05-20,15:13:00,State
1216636,East Windsor,2003-05-20,20:27:00,Interstate
1216637,Branford,2003-05-10,2:31:00,USRoute
1216638,Ledyard,2003-05-24,17:06:00,State
1216639,East Haven,2003-05-23,0:45:00,State
1216640,Griswold,2003-05-28,7:19:00,State
1216641,Hartford,2003-05-26,12:11:00,Interstate
1216642,Newington,2003-05-30,20:52:00,State
1216643,New Haven,2003-05-30,23:02:00,Local
1216644,Brookfield,2003-06-02,16:47:00,Local
1216645,Danbury,2003-05-24,19:30:00,Local
1216646,Putnam,2003-06-07,2:50:00,State
1216647,Killingworth,2003-05-31,0:24:00,Local
1216648,Montville,2003-06-08,16:17:00,Interstate
1216649,Woodbury,2003-06-09,18:21:00,State
1216650,Litchfield,2003-05-19,19:04:00,USRoute
1216651,Bridgeport,2003-06-11,0:57:00,State
1216652,Plymouth,2003-06-14,21:51:00,Local
1216653,Waterbury,2003-06-15,2:23:00,Local
1216654,Bridgeport,2003-06-16,19:41:00,Local
1216655,Stamford,2003-06-10,19:53:00,Local
1216656,Hartford,2003-06-18,1:14:00,Local
1216657,Berlin,2003-06-20,14:26:00,State
1216658,East Hartford,2003-06-20,22:13:00,Interstate
1216659,North Haven,2003-06-21,17:21:00,State
1216660,Scotland,2003-06-25,20:23:00,Local
1216661,Southington,2003-06-25,22:55:00,State
1216662,Bristol,2003-06-25,23:02:00,State
1216663,Bethany,2003-06-27,18:55:00,State
1216664,Middlebury,2003-06-27,13:41:00,Interstate
1216665,Coventry,2003-06-28,16:14:00,USRoute
1216666,Plainfield,2003-06-28,19:34:00,State
1216667,Watertown,2003-06-30,20:44:00,USRoute
1216668,Darien,2003-06-30,17:57:00,Local
1216669,Vernon,2003-06-14,0:43:00,Interstate
1216670,Thompson,2003-06-28,15:55:00,Interstate
1216671,Milford,2003-02-14,7:55:00,State
1216672,Putnam,2003-07-03,14:00:00,Interstate
1216673,Meriden,2003-07-04,13:38:00,State
1216674,Trumbull,2003-06-29,22:58:00,Local
1216675,New Britain,2003-07-05,0:17:00,Local
1216676,Middletown,2003-07-05,0:37:00,State
1216677,Middlebury,2003-07-06,23:28:00,Interstate
1216678,Trumbull,2003-07-10,10:42:00,State
1216679,Somers,2003-07-12,17:39:00,Local
1216680,Southington,2003-07-12,17:18:00,Local
1216681,Middletown,2003-07-13,2:00:00,State
1216682,Danbury,2003-07-13,18:00:00,Local
1216683,Hamden,2003-07-17,1:08:00,Local
1216684,Columbia,2003-06-28,8:38:00,State
1216685,Fairfield,2003-07-11,9:50:00,Local
1216686,Griswold,2003-07-17,23:00:00,State
1216687,Bethany,2003-07-20,4:03:00,State
1216688,Tolland,2003-07-23,18:35:00,State
1216689,Cheshire,2003-07-25,17:26:00,Local
1216690,Oxford,2003-07-30,1:32:00,State
1216691,Greenwich,2003-07-30,6:47:00,USRoute
1216692,Milford,2003-07-30,13:08:00,State
1216693,Hamden,2003-07-29,17:06:00,State
1216694,Berlin,2003-08-03,1:35:00,State
1216695,Guilford,2003-08-01,1:10:00,State
1216696,Glastonbury,2003-08-04,12:49:00,Local
1216697,New Haven,2003-08-06,15:15:00,State
1216698,Fairfield,2003-08-07,22:26:00,State
1216699,Ridgefield,2003-08-12,22:19:00,USRoute
1216700,Mansfield,2003-08-13,0:19:00,State
1216701,Montville,2003-08-14,0:57:00,Interstate
1216702,Pomfret,2003-08-14,22:41:00,USRoute
1216703,Waterbury,2003-08-15,18:27:00,State
1216704,Southbury,2003-08-16,7:21:00,Interstate
1216705,New Canaan,2003-08-15,20:46:00,State
1216706,Fairfield,2003-08-19,8:50:00,State
1216707,Marlborough,2003-08-19,23:38:00,State
1216708,Middlebury,2003-08-20,23:28:00,Interstate
1216709,Bristol,2003-08-18,9:48:00,Local
1216710,West Haven,2003-08-21,1:09:00,State
1216711,Westport,2003-08-21,13:51:00,Interstate
1216712,Fairfield,2003-08-22,0:44:00,State
1216713,Bethany,2003-08-26,1:10:00,State
1216714,New Haven,2003-08-26,22:14:00,USRoute
1216715,New Britain,2003-08-31,18:19:00,Interstate
1216716,Hartford,2003-09-01,17:36:00,Local
1216717,Hebron,2003-09-02,22:10:00,State
1216718,Essex,2003-09-02,19:30:00,Local
1216719,Greenwich,2003-09-04,13:30:00,Local
1216720,Killingly,2003-09-04,11:39:00,Interstate
1216721,Hartford,2003-09-04,17:40:00,Local
1216722,East Lyme,2003-09-05,11:39:00,State
1216723,New Britain,2003-09-05,21:58:00,State
1216724,New Haven,2003-09-06,1:57:00,Local
1216725,Manchester,2003-09-06,11:38:00,State
1216726,Norwich,2003-09-06,21:05:00,State
1216727,Norwalk,2003-09-07,1:57:00,Interstate
1216728,Lebanon,2003-09-07,12:03:00,State
1216729,Orange,2003-08-30,19:31:00,State
1216730,Thompson,2003-09-04,12:27:00,Local
1216731,Wallingford,2003-09-08,20:26:00,State
1216732,Enfield,2003-09-02,10:22:00,USRoute
1216733,Willington,2003-04-17,23:08:00,State
1216734,Shelton,2003-08-22,3:57:00,State
1216735,Meriden,2003-09-12,10:54:00,Interstate
1216736,Hartford,2003-09-14,21:11:00,Local
1216737,North Haven,2003-09-17,17:15:00,Interstate
1216738,Enfield,2003-09-19,2:20:00,Interstate
1216739,Norwich,2003-09-19,20:56:00,Interstate
1216740,Southbury,2003-09-21,1:55:00,Interstate
1216741,Derby,2003-09-26,5:54:00,Local
1216742,Hartford,2003-09-28,2:53:00,Local
1216743,Danbury,2003-09-29,9:59:00,USRoute
1216744,Vernon,2003-09-29,13:01:00,State
1216745,Monroe,2003-09-30,20:04:00,Local
1216746,South Windsor,2003-10-04,1:01:00,USRoute
1216747,Milford,2003-10-05,23:08:00,Local
1216748,Stonington,2003-10-06,8:11:00,Interstate
1216749,Meriden,2003-10-06,11:20:00,Local
1216750,New Britain,2003-10-06,17:32:00,State
1216751,Groton,2003-10-08,3:10:00,Interstate
1216752,Windham,2003-09-25,23:33:00,Local
1216753,New Milford,2003-10-08,15:55:00,USRoute
1216754,Hartland,2003-10-09,20:17:00,Local
1216755,East Hartford,2003-10-10,17:33:00,Interstate
1216756,Ledyard,2003-10-11,1:54:00,State
1216757,Hampton,2003-10-13,7:58:00,USRoute
1216758,Stratford,2003-04-18,15:17:00,Local
1216759,Hartford,2003-01-27,22:55:00,Local
1216760,New Haven,2003-06-13,17:31:00,USRoute
1216761,Colchester,2003-10-16,23:17:00,State
1216762,Suffield,2003-10-18,18:32:00,State
1216763,New Haven,2003-10-20,0:00:01,Interstate
1216764,Stonington,2003-10-22,20:30:00,Interstate
1216765,East Hampton,2003-10-23,15:29:00,State
1216766,Farmington,2003-10-24,7:22:00,State
1216767,Shelton,2003-10-24,16:14:00,State
1216768,Manchester,2003-10-24,16:52:00,Interstate
1216769,Norwich,2003-10-24,22:57:00,Local
1216770,North Haven,2003-10-25,2:46:00,Local
1216771,Farmington,2003-10-26,10:18:00,Local
1216772,Groton,2003-10-28,1:51:00,USRoute
1216773,Waterbury,2003-10-28,9:28:00,State
1216774,Derby,2003-10-24,9:38:00,State
1216775,Sherman,2003-10-31,17:24:00,State
1216776,Berlin,2003-10-15,17:36:00,State
1216777,Groton,2003-11-07,2:13:00,State
1216778,New Haven,2003-11-08,22:00:00,Local
1216779,Colchester,2003-11-09,1:35:00,State
1216780,Norwich,2003-11-10,10:16:00,Interstate
1216781,Shelton,2003-11-10,22:41:00,State
1216782,Torrington,2003-11-12,20:52:00,USRoute
1216783,Barkhamsted,2003-11-15,15:18:00,Local
1216784,Wallingford,2003-11-16,15:07:00,Interstate
1216785,Stonington,2003-11-16,17:24:00,USRoute
1216786,Stamford,2003-11-16,15:53:00,Local
1216787,New Hartford,2003-11-19,12:21:00,USRoute
1216788,Hartford,2003-11-22,2:00:00,State
1216789,Brookfield,2003-11-23,3:06:00,USRoute
1216790,Union,2003-11-26,22:03:00,Interstate
1216791,Bridgeport,2003-11-27,11:32:00,State
1216792,Madison,2003-11-30,3:01:00,Local
1216793,Trumbull,2003-12-02,5:46:00,State
1216794,Middlebury,2003-12-03,16:43:00,Interstate
1216795,East Windsor,2003-12-04,17:43:00,USRoute
1216796,New Canaan,2003-12-08,15:14:00,Local
1216797,Wilton,2003-12-12,19:29:00,Local
1216798,Stamford,2003-12-14,9:16:00,State
1216799,East Hartford,2003-12-15,22:19:00,State
1216800,Cheshire,2003-12-15,20:40:00,Interstate
1216801,Glastonbury,2003-12-16,0:41:00,State
1216802,Norwalk,2003-12-19,2:01:00,State
1216803,Manchester,2003-11-25,12:47:00,USRoute
1216804,Manchester,2003-11-20,20:12:00,Local
1216805,Enfield,2003-12-05,23:42:00,Local
1216806,East Hartford,2003-12-20,1:48:00,Local
1216807,Suffield,2003-12-20,14:48:00,Local
1216808,New Haven,2003-12-22,3:04:00,Interstate
1216809,New Haven,2003-12-23,20:26:00,Interstate
1216810,Brooklyn,2003-12-25,10:57:00,USRoute
1216811,Vernon,2003-12-26,3:39:00,Local
1216812,Hartford,2003-12-19,15:54:00,Local
1216813,New Haven,2003-12-31,9:31:00,State
1216814,Branford,2003-12-27,15:23:00,Local
1216815,Willington,2003-09-20,17:42:00,Local
1216816,Lisbon,2003-12-17,21:02:00,Local
1216817,Woodbury,2003-12-26,6:47:00,USRoute
1216818,Hartford,2003-07-12,22:14:00,Local
1297390,Groton,2004-01-06,15:34:00,State
1297391,Fairfield,2004-01-08,11:49:00,State
1297392,Groton,2004-01-10,9:29:00,Interstate
1297393,Preston,2004-01-10,17:59:00,State
1297394,Mansfield,2004-01-13,10:04:00,USRoute
1297395,Sterling,2004-01-14,7:31:00,State
1297396,Watertown,2004-01-17,2:09:00,USRoute
1297397,Stamford,2004-01-17,3:57:00,State
1297398,Chaplin,2004-01-20,13:32:00,State
1297399,Milford,2004-01-20,19:13:00,USRoute
1297400,Southington,2004-01-21,18:54:00,State
1297401,Meriden,2004-01-22,17:52:00,State
1297402,Simsbury,2004-01-16,12:47:00,Local
1297403,Norwalk,2004-01-25,0:56:00,Interstate
1297404,Berlin,2004-01-25,5:33:00,State
1297405,Griswold,2004-01-29,23:19:00,State
1297406,Easton,2004-01-28,11:12:00,State
1297407,Old Lyme,2004-02-08,21:49:00,Interstate
1297408,Bristol,2004-02-10,15:41:00,Local
1297409,Wallingford,2004-02-11,13:18:00,USRoute
1297410,Griswold,2004-02-12,16:54:00,Interstate
1297411,East Hartford,2004-02-11,18:51:00,Local
1297412,Orange,2004-02-07,19:06:00,State
1297413,Seymour,2004-02-14,4:47:00,Local
1297414,Coventry,2004-02-11,16:15:00,Local
1297415,Killingly,2004-02-16,7:14:00,State
1297416,New Haven,2004-02-17,13:37:00,USRoute
1297417,Somers,2004-02-18,14:59:00,Local
1297418,New London,2004-02-04,9:10:00,Local
1297419,Griswold,2004-02-21,2:09:00,State
1297420,Plainfield,2004-02-21,0:24:00,Interstate
1297421,Cromwell,2004-02-22,21:50:00,State
1297422,Westbrook,2004-02-23,0:40:00,Interstate
1297423,North Stonington,2004-02-24,19:21:00,State
1297424,Farmington,2004-02-25,6:23:00,Interstate
1297425,North Haven,2004-02-22,2:13:00,Interstate
1297426,East Haven,2004-02-26,16:08:00,State
1297427,East Lyme,2004-02-28,0:00:01,State
1297428,Bolton,2004-02-29,22:15:00,USRoute
1297429,Hamden,2004-01-29,22:54:00,State
1297430,Fairfield,2004-03-03,4:38:00,State
1297431,Enfield,2004-03-05,15:43:00,State
1297432,Torrington,2004-03-06,21:14:00,State
1297433,Killingly,2004-03-08,17:59:00,State
1297434,Danbury,2004-03-14,14:06:00,State
1297435,Granby,2004-03-14,17:30:00,State
1297436,East Hartford,2004-03-15,0:32:00,Local
1297437,Marlborough,2004-03-15,13:03:00,State
1297438,Bridgeport,2004-03-15,0:10:00,Interstate
1297439,Fairfield,2004-03-19,20:56:00,State
1297440,New Britain,2004-03-20,18:56:00,Local
1297441,New Haven,2004-03-13,2:04:00,State
1297442,Preston,2004-03-12,14:23:00,State
1297443,Killingly,2004-01-06,12:40:00,State
1297444,Salem,2004-03-03,8:18:00,Local
1297445,West Hartford,2004-03-29,1:19:00,Interstate
1297446,New Haven,2004-04-03,16:23:00,USRoute
1297447,Killingworth,2004-04-04,14:27:00,State
1297448,Beacon Falls,2004-04-06,8:21:00,State
1297449,Newtown,2004-04-10,4:22:00,State
1297450,Hartford,2004-03-27,17:49:00,Local
1297451,Waterford,2004-04-15,19:42:00,Local
1297452,Prospect,2004-04-17,15:59:00,State
1297453,Lebanon,2004-04-18,14:39:00,State
1297454,Middletown,2004-04-20,7:08:00,State
1297455,Westport,2004-04-22,7:39:00,Local
1297456,Windsor Locks,2004-04-16,15:21:00,Interstate
1297457,Hartford,2004-04-24,17:35:00,Local
1297458,Monroe,2004-03-16,14:57:00,State
1297459,Norwalk,2004-03-29,1:14:00,Interstate
1297460,Redding,2004-05-01,13:45:00,State
1297461,New Milford,2004-05-01,17:32:00,USRoute
1297462,Branford,2004-05-01,23:46:00,USRoute
